"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00045983","1948-04","41.32191","-122.31777","1101.2","MOUNT SHASTA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00045983","1948-05","41.32191","-122.31777","1101.2","MOUNT SHASTA, CA US","","","","","0.0",",X","11",",X","8",",X","0",",X","0",",X","0",",X","0",",X","6",",X","0",",X","8",",X","0",",X","10","","","","","","-3.3",",X,01,","0",",T,X,01,","0",",T,X,19,+","11.9",",,X,18,","27.8",",X,25,","","","270.6",",X","49.6",",,,X","0",",T,,X","9.60",",X","16.36",",,,X","2.85",",,,X","","","","","","","",""
"USC00045983","1948-06","41.32191","-122.31777","1101.2","MOUNT SHASTA, CA US","","","","","23.8",",X","10",",X","4",",X","0",",X","0","1,X","0",",X","0",",X","0",",X","0",",X","18",",X","3",",X","4","","","","5","","4.4",",X,14,+","0","1,,X,30,+","0",",,X,30,+","16.0",",,X,05,","36.1",",X,28,","","","91.3",",X","52.6",",,,X","0",",,,X","16.08",",X","23.77",",,,X","8.39",",,,X","","","","","","","",""
"USC00045983","1948-07","41.32191","-122.31777","1101.2","MOUNT SHASTA, CA US","","","","","33.9",",0","5",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","0",",0","1","","","","4","","3.3",",0,04,","0",",,0,31,+","0",",,0,31,+","15.2",",,0,31,","31.7",",0,16,","48.2","0","48.2",",0","33.3",",,,0","0",",,,0","17.87",",0","26.25",",,,0","9.50",",,,0","","","","","","","",""
"USC00045983","1948-08","41.32191","-122.31777","1101.2","MOUNT SHASTA, CA US","","","","","14.7",",0","3",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","0",",0","","","","","5","","4.4",",0,16,","0",",,0,31,+","0",",,0,31,+","4.8",",,0,01,","31.1",",0,01,","96.1","0","47.9",",0","11.2",",,,0","0",",,,0","17.26",",0","26.22",",,,0","8.31",",,,0","","","","","","","",""
"USC00045983","1948-09","41.32191","-122.31777","1101.2","MOUNT SHASTA, CA US","","","","","19.2",",0","5",",0","4",",0","1",",0","0",",0","0",",0","0",",0","1",",0","0",",0","21",",0","4",",0","2","","","","","","-1.1",",0,26,","0",",,0,30,+","0",",,0,30,+","30.0",",,0,18,","33.3",",0,11,+","225.9","0","129.8",",0","54.5",",,,0","0",",,,0","14.65",",0","23.06",",,,0","6.23",",,,0","","","","","","","",""
"USC00045983","1948-10","41.32191","-122.31777","1101.2","MOUNT SHASTA, CA US","","","","","0.0",",0","5",",0","4",",0","0",",0","1",",0","1",",0","0",",0","6",",0","0",",0","11",",0","0",",0","2","","","","","","-3.9",",0,28,","51",",,0,29,","76",",,0,29,","21.3",",,0,03,","25.6",",0,09,","471.1","0","245.2",",0","41.4",",,,0","76",",,,0","10.42",",0","17.34",",,,0","3.51",",,,0","","","","","","","",""
"USC00045983","1948-11","41.32191","-122.31777","1101.2","MOUNT SHASTA, CA US","","","","","0.0",",0","9",",0","6",",0","1",",0","0",",0","0",",0","0",",0","23",",0","0",",0","0",",0","0",",0","4","","","","","","-7.2",",0,08,","0",",T,0,26,+","15",",,0,25,","33.3",",,0,01,","17.8",",0,12,","900.8","0","429.7",",0","66.2",",,,0","15",",,,0","4.01",",0","9.80",",,,0","-1.78",",,,0","","","","","","","",""
"USC00045983","1948-12","41.32191","-122.31777","1101.2","MOUNT SHASTA, CA US","","","","","0.0",",0","17",",0","10",",0","0",",0","30",",0","10",",0","0",",0","31",",0","11",",0","0",",0","0",",0","13","","","","","","-13.9",",0,22,+","381",",,0,07,","157",",,0,02,","11.9",",,0,05,","10.0",",0,01,","1538.0","0","637.2",",0","71.4",",,,0","900",",,,0","-2.22",",0","1.98",",,,0","-6.43",",,,0","","","","","","","",""
"USC00045983","1949-01","41.32191","-122.31777","1101.2","MOUNT SHASTA, CA US","","","0.0","0","0.0",",0","6",",0","2",",0","0",",0","31",",0","4",",0","0",",0","31",",0","15",",0","0",",0","0",",0","2","","","","","","-16.7",",0,25,+","229",",,0,22,","94",",,0,21,","4.1",",,0,21,","8.3",",0,27,","2248.4","0","710.4",",0","12.5",",,,0","313",",,,0","-4.58",",0","0.59",",,,0","-9.75",",,,0","","","","","","","",""
"USC00045983","1949-02","41.32191","-122.31777","1101.2","MOUNT SHASTA, CA US","","","0.0","0","0.0",",0","15",",0","8",",0","1",",0","22",",0","5",",0","0",",0","25",",0","7",",0","0",",0","0",",0","9","","","","","","-17.2",",0,13,","356",",,0,11,+","254",",,0,06,","29.0",",,0,22,","15.0",",0,25,+","2770.9","0","522.5",",0","106.4",",,,0","531",",,,0","-0.33",",0","4.90",",,,0","-5.56",",,,0","","","","","","","",""
"USC00045983","1949-03","41.32191","-122.31777","1101.2","MOUNT SHASTA, CA US","","","0.0","0","0.0",",0","24",",0","14",",0","5",",0","9",",0","5",",0","0",",0","22",",0","0",",0","0",",0","0",",0","15","","","","","","-4.4",",0,20,+","102",",,0,03,","180",",,0,02,","57.2",",,0,17,","13.3",",0,29,+","3235.9","0","465.0",",0","302.7",",,,0","515",",,,0","3.33",",0","7.52",",,,0","-0.85",",,,0","","","","","","","",""
"USC00045983","1949-04","41.32191","-122.31777","1101.2","MOUNT SHASTA, CA US","","","0.0","0","0.0",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","9",",0","0",",0","11",",0","0",",0","","","","","2","","-2.8",",0,01,","0",",,0,30,+","0",",T,0,17,","2.5",",,0,28,+","26.7",",0,10,","3463.5","0","227.6",",0","7.2",",,,0","0",",T,,0","10.75",",0","19.25",",,,0","2.25",",,,0","","","","","","","",""
"USC00045983","1949-05","41.32191","-122.31777","1101.2","MOUNT SHASTA, CA US","","","0.8","0","0.8",",0","14",",0","9",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","13",",0","0",",0","7","","","","3","","0.0",",0,04,","0",",,0,31,+","0",",,0,31,+","14.0",",,0,29,","29.4",",0,25,","3639.0","0","175.5",",0","71.4",",,,0","0",",,,0","12.70",",0","19.64",",,,0","5.76",",,,0","","","","","","","",""
