"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"RSM00027776","1959-07","54.483","46.7","100.0","SURSKOE, RS","8","1,I","5","1,I","0","1,I","","","","","","","","","","","","","","","","","19.8","1,,I,27,","","","53.4","1,,,I","","","",""
"RSM00027776","1959-08","54.483","46.7","100.0","SURSKOE, RS","11",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","9.5",",,I,13,","","","44.0",",,,I","","","",""
"RSM00027776","1959-09","54.483","46.7","100.0","SURSKOE, RS","11",",I","5",",I","0",",I","","","","","","","","","","","","","","","","","10.2",",,I,06,","","","38.5",",,,I","","","",""
"RSM00027776","1959-10","54.483","46.7","100.0","SURSKOE, RS","16","2,I","6","2,I","0","2,I","","","","","","","","","","","","","","","","","9.2","2,,I,08,","","","38.2","2,,,I","","","",""
"RSM00027776","1959-11","54.483","46.7","100.0","SURSKOE, RS","2","2,I","0","2,I","0","2,I","","","","","","","","","","","","","","","","","2.4","2,,I,24,","","","3.0","2,,,I","","","",""
"RSM00027776","1959-12","54.483","46.7","100.0","SURSKOE, RS","7","4,I","2","4,I","0","4,I","","","","","","","","","","","","","","","","","3.5","4,,I,29,","","","12.8","4,,,I","","","",""
"RSM00027776","1960-01","54.483","46.7","100.0","SURSKOE, RS","17",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","9.7",",,I,31,","","","39.3",",,,I","","","",""
"RSM00027776","1960-02","54.483","46.7","100.0","SURSKOE, RS","14",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","4.9",",,I,18,","","","22.5",",,,I","","","",""
"RSM00027776","1960-03","54.483","46.7","100.0","SURSKOE, RS","10","3,I","2","3,I","0","3,I","","","","","","","","","","","","","","","","","4.0","3,,I,01,","","","15.5","3,,,I","","","",""
"RSM00027776","1960-04","54.483","46.7","100.0","SURSKOE, RS","8","1,I","2","1,I","0","1,I","","","","","","","","","","","","","","","","","8.1","1,,I,25,","","","19.5","1,,,I","","","",""
"RSM00027776","1960-05","54.483","46.7","100.0","SURSKOE, RS","5",",I","4",",I","0",",I","","","","","","","","","","","","","","","","","17.3",",,I,06,","","","32.5",",,,I","","","",""
"RSM00027776","1960-06","54.483","46.7","100.0","SURSKOE, RS","11","1,I","6","1,I","0","1,I","","","","","","","","","","","","","","","","","16.3","1,,I,08,","","","54.7","1,,,I","","","",""
"RSM00027776","1960-07","54.483","46.7","100.0","SURSKOE, RS","10","1,I","7","1,I","0","1,I","","","","","","","","","","","","","","","","","11.9","1,,I,07,","","","45.3","1,,,I","","","",""
"RSM00027776","1960-08","54.483","46.7","100.0","SURSKOE, RS","13",",I","4",",I","0",",I","","","","","","","","","","","","","","","","","19.9",",,I,28,","","","59.9",",,,I","","","",""
"RSM00027776","1960-09","54.483","46.7","100.0","SURSKOE, RS","8","1,I","5","1,I","0","1,I","","","","","","","","","","","","","","","","","6.1","1,,I,27,","","","24.0","1,,,I","","","",""
"RSM00027776","1960-10","54.483","46.7","100.0","SURSKOE, RS","9",",I","7",",I","0",",I","","","","","","","","","","","","","","","","","14.7",",,I,28,","","","49.3",",,,I","","","",""
"RSM00027776","1960-11","54.483","46.7","100.0","SURSKOE, RS","6",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","5.6",",,I,16,","","","13.5",",,,I","","","",""
"RSM00027776","1960-12","54.483","46.7","100.0","SURSKOE, RS","9","4,I","2","4,I","0","4,I","","","","","","","","","","","","","","","","","3.2","4,,I,19,","","","16.7","4,,,I","","","",""
"RSM00027776","1961-01","54.483","46.7","100.0","SURSKOE, RS","12","2,I","3","2,I","0","2,I","","","","","","","","","","","","","","","","","5.3","2,,I,22,","","","22.8","2,,,I","","","",""
"RSM00027776","1961-02","54.483","46.7","100.0","SURSKOE, RS","14","2,I","2","2,I","0","2,I","","","","","","","","","","","","","","","","","3.6","2,,I,19,","","","19.2","2,,,I","","","",""
"RSM00027776","1961-03","54.483","46.7","100.0","SURSKOE, RS","19",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","17.2",",,I,30,","","","56.0",",,,I","","","",""
"RSM00027776","1961-04","54.483","46.7","100.0","SURSKOE, RS","16",",I","10",",I","0",",I","","","","","","","","","","","","","","","","","9.3",",,I,10,","","","67.9",",,,I","","","",""
"RSM00027776","1961-05","54.483","46.7","100.0","SURSKOE, RS","13",",I","7",",I","1",",I","","","","","","","","","","","","","","","","","27.6",",,I,20,","","","61.7",",,,I","","","",""
"RSM00027776","1961-06","54.483","46.7","100.0","SURSKOE, RS","6",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","8.1",",,I,21,","","","16.7",",,,I","","","",""
"RSM00027776","1961-07","54.483","46.7","100.0","SURSKOE, RS","11",",I","9",",I","1",",I","","","","","","","","","","","","","","","","","25.4",",,I,23,","","","88.9",",,,I","","","",""
"RSM00027776","1961-08","54.483","46.7","100.0","SURSKOE, RS","13",",I","8",",I","0",",I","","","","","","","","","","","","","","","","","14.2",",,I,05,","","","57.7",",,,I","","","",""
