"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"KZ000036778","1966-01","45.0","78.383","602.0","TALDY KURGAN, KZ","12","3,I","6","3,I","0","3,I","","","","","","","","","","","","","","","","","10.6","3,,I,16,","","","38.6","3,,,I","","","",""
"KZ000036778","1966-02","45.0","78.383","602.0","TALDY KURGAN, KZ","9",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","8.5",",,I,05,","","","24.3",",,,I","","","",""
"KZ000036778","1966-03","45.0","78.383","602.0","TALDY KURGAN, KZ","14",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","13.8",",,I,15,","","","67.1",",,,I","","","",""
"KZ000036778","1966-04","45.0","78.383","602.0","TALDY KURGAN, KZ","5",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","6.6",",,I,27,","","","16.8",",,,I","","","",""
"KZ000036778","1966-05","45.0","78.383","602.0","TALDY KURGAN, KZ","10",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","11.8",",,I,06,","","","45.8",",,,I","","","",""
"KZ000036778","1966-06","45.0","78.383","602.0","TALDY KURGAN, KZ","9",",I","4",",I","0",",I","","","","","","","","","","","","","","","","","11.0",",,I,29,","","","32.4",",,,I","","","",""
"KZ000036778","1966-07","45.0","78.383","602.0","TALDY KURGAN, KZ","7","2,I","4","2,I","0","2,I","","","","","","","","","","","","","","","","","8.5","2,,I,12,","","","27.3","2,,,I","","","",""
"KZ000036778","1966-08","45.0","78.383","602.0","TALDY KURGAN, KZ","5",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","20.0",",,I,01,","","","22.1",",,,I","","","",""
"KZ000036778","1966-09","45.0","78.383","602.0","TALDY KURGAN, KZ","4",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","3.3",",,I,16,","","","8.9",",,,I","","","",""
"KZ000036778","1966-10","45.0","78.383","602.0","TALDY KURGAN, KZ","8",",I","4",",I","0",",I","","","","","","","","","","","","","","","","","11.9",",,I,03,","","","30.5",",,,I","","","",""
"KZ000036778","1966-11","45.0","78.383","602.0","TALDY KURGAN, KZ","10",",I","7",",I","0",",I","","","","","","","","","","","","","","","","","25.1",",,I,22,","","","78.7",",,,I","","","",""
"KZ000036778","1966-12","45.0","78.383","602.0","TALDY KURGAN, KZ","16",",I","7",",I","0",",I","","","","","","","","","","","","","","","","","12.9",",,I,16,","","","53.1",",,,I","","","",""
"KZ000036778","1967-01","45.0","78.383","602.0","TALDY KURGAN, KZ","4","1,I","3","1,I","0","1,I","","","","","","","","","","","","","","","","","5.4","1,,I,19,","","","14.5","1,,,I","","","",""
"KZ000036778","1967-02","45.0","78.383","602.0","TALDY KURGAN, KZ","11",",I","5",",I","0",",I","","","","","","","","","","","","","","","","","7.7",",,I,18,","","","35.0",",,,I","","","",""
"KZ000036778","1967-03","45.0","78.383","602.0","TALDY KURGAN, KZ","2",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","11.3",",,I,10,","","","13.0",",,,I","","","",""
"KZ000036778","1967-04","45.0","78.383","602.0","TALDY KURGAN, KZ","6",",I","4",",I","1",",I","","","","","","","","","","","","","","","","","26.7",",,I,30,","","","40.6",",,,I","","","",""
"KZ000036778","1967-05","45.0","78.383","602.0","TALDY KURGAN, KZ","6",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","13.2",",,I,10,","","","30.2",",,,I","","","",""
"KZ000036778","1967-06","45.0","78.383","602.0","TALDY KURGAN, KZ","7",",I","4",",I","0",",I","","","","","","","","","","","","","","","","","10.1",",,I,08,","","","32.3",",,,I","","","",""
"KZ000036778","1967-07","45.0","78.383","602.0","TALDY KURGAN, KZ","13",",I","7",",I","0",",I","","","","","","","","","","","","","","","","","12.3",",,I,16,","","","47.2",",,,I","","","",""
"KZ000036778","1967-08","45.0","78.383","602.0","TALDY KURGAN, KZ","6",",I","5",",I","0",",I","","","","","","","","","","","","","","","","","11.4",",,I,03,","","","30.3",",,,I","","","",""
"KZ000036778","1967-09","45.0","78.383","602.0","TALDY KURGAN, KZ","3","1,I","1","1,I","0","1,I","","","","","","","","","","","","","","","","","8.1","1,,I,21,","","","9.8","1,,,I","","","",""
"KZ000036778","1967-10","45.0","78.383","602.0","TALDY KURGAN, KZ","8",",I","4",",I","0",",I","","","","","","","","","","","","","","","","","9.8",",,I,24,+","","","36.0",",,,I","","","",""
"KZ000036778","1967-11","45.0","78.383","602.0","TALDY KURGAN, KZ","1",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","2.8",",,I,19,","","","3.0",",,,I","","","",""
"KZ000036778","1967-12","45.0","78.383","602.0","TALDY KURGAN, KZ","6","1,I","2","1,I","0","1,I","","","","","","","","","","","","","","","","","15.7","1,,I,16,","","","23.7","1,,,I","","","",""
"KZ000036778","1968-01","45.0","78.383","602.0","TALDY KURGAN, KZ","5","2,I","2","2,I","0","2,I","","","","","","","","","","","","","","","","","5.6","2,,I,29,","","","13.3","2,,,I","","","",""
"KZ000036778","1968-02","45.0","78.383","602.0","TALDY KURGAN, KZ","1",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","2.1",",,I,25,","","","2.1",",,,I","","","",""
"KZ000036778","1968-03","45.0","78.383","602.0","TALDY KURGAN, KZ","8","2,I","7","2,I","1","2,I","","","","","","","","","","","","","","","","","26.4","2,,I,04,","","","89.2","2,,,I","","","",""
"KZ000036778","1968-04","45.0","78.383","602.0","TALDY KURGAN, KZ","10",",I","8",",I","0",",I","","","","","","","","","","","","","","","","","17.5",",,I,20,","","","77.4",",,,I","","","",""
"KZ000036778","1968-05","45.0","78.383","602.0","TALDY KURGAN, KZ","4",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","3.5",",,I,30,","","","5.8",",,,I","","","",""
"KZ000036778","1968-06","45.0","78.383","602.0","TALDY KURGAN, KZ","9",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","7.1",",,I,14,","","","21.6",",,,I","","","",""
"KZ000036778","1968-07","45.0","78.383","602.0","TALDY KURGAN, KZ","5",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","15.2",",,I,09,","","","25.9",",,,I","","","",""
"KZ000036778","1968-08","45.0","78.383","602.0","TALDY KURGAN, KZ","3",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","1.5",",,I,31,","","","2.5",",,,I","","","",""
"KZ000036778","1968-09","45.0","78.383","602.0","TALDY KURGAN, KZ","4",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","1.1",",,I,05,","","","3.0",",,,I","","","",""
"KZ000036778","1968-10","45.0","78.383","602.0","TALDY KURGAN, KZ","10",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","12.9",",,I,28,","","","48.1",",,,I","","","",""
"KZ000036778","1968-11","45.0","78.383","602.0","TALDY KURGAN, KZ","10",",I","7",",I","0",",I","","","","","","","","","","","","","","","","","19.4",",,I,30,","","","70.9",",,,I","","","",""
"KZ000036778","1968-12","45.0","78.383","602.0","TALDY KURGAN, KZ","13",",I","8",",I","0",",I","","","","","","","","","","","","","","","","","9.3",",,I,06,","","","51.7",",,,I","","","",""
"KZ000036778","1969-01","45.0","78.383","602.0","TALDY KURGAN, KZ","13","1,I","9","1,I","0","1,I","","","","","","","","","","","","","","","","","8.3","1,,I,23,","","","46.9","1,,,I","","","",""
"KZ000036778","1969-02","45.0","78.383","602.0","TALDY KURGAN, KZ","6",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","10.6",",,I,09,","","","21.3",",,,I","","","",""
"KZ000036778","1969-03","45.0","78.383","602.0","TALDY KURGAN, KZ","16",",I","10",",I","0",",I","","","","","","","","","","","","","","","","","20.2",",,I,24,","","","108.9",",,,I","","","",""
