"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BOM00033038","1881-01","52.25","29.8331","142.0","VASILEVICI, BO","","","","","12",",r","0",",r","0",",r","","","","","","","","","","","","","","","","","1.7",",,r,20,+","","","","","","","10.1",",,,r","","","","","",""
"BOM00033038","1881-02","52.25","29.8331","142.0","VASILEVICI, BO","","","","","8",",r","3",",r","0",",r","","","","","","","","","","","","","","","","","6.0",",,r,09,","","","","","","","19.0",",,,r","","","","","",""
"BOM00033038","1881-03","52.25","29.8331","142.0","VASILEVICI, BO","","","","","7",",r","1",",r","0",",r","","","","","","","","","","","","","","","","","7.5",",,r,09,","","","","","","","14.8",",,,r","","","","","",""
"BOM00033038","1881-04","52.25","29.8331","142.0","VASILEVICI, BO","","","","","8",",r","2",",r","0",",r","","","","","","","","","","","","","","","","","4.5",",,r,20,","","","","","","","11.3",",,,r","","","","","",""
"BOM00033038","1881-05","52.25","29.8331","142.0","VASILEVICI, BO","","","","","3",",r","1",",r","0",",r","","","","","","","","","","","","","","","","","3.2",",,r,22,","","","","","","","5.4",",,,r","","","","","",""
"BOM00033038","1881-06","52.25","29.8331","142.0","VASILEVICI, BO","","","","","11",",r","7",",r","0",",r","","","","","","","","","","","","","","","","","10.4",",,r,09,","","","","","","","41.2",",,,r","","","","","",""
"BOM00033038","1881-07","52.25","29.8331","142.0","VASILEVICI, BO","","","","","11",",r","8",",r","0",",r","","","","","","","","","","","","","","","","","24.0",",,r,12,","","","","","","","57.6",",,,r","","","","","",""
"BOM00033038","1881-08","52.25","29.8331","142.0","VASILEVICI, BO","","","","","16",",r","7",",r","0",",r","","","","","","","","","","","","","","","","","17.3",",,r,02,","","","","","","","72.7",",,,r","","","","","",""
"BOM00033038","1881-09","52.25","29.8331","142.0","VASILEVICI, BO","","","","","6",",r","1",",r","0",",r","","","","","","","","","","","","","","","","","10.6",",,r,15,","","","","","","","18.4",",,,r","","","","","",""
"BOM00033038","1881-10","52.25","29.8331","142.0","VASILEVICI, BO","","","","","6",",r","5",",r","0",",r","","","","","","","","","","","","","","","","","17.5",",,r,25,","","","","","","","48.9",",,,r","","","","","",""
"BOM00033038","1881-11","52.25","29.8331","142.0","VASILEVICI, BO","","","","","7",",r","2",",r","0",",r","","","","","","","","","","","","","","","","","3.8",",,r,13,","","","","","","","14.7",",,,r","","","","","",""
"BOM00033038","1881-12","52.25","29.8331","142.0","VASILEVICI, BO","","","","","8",",r","2",",r","0",",r","","","","","","","","","","","","","","","","","5.3",",,r,21,","","","","","","","16.5",",,,r","","","","","",""
"BOM00033038","1882-01","52.25","29.8331","142.0","VASILEVICI, BO","","","","","4",",r","3",",r","0",",r","","","","","","","","","","","","","","","","","2.8",",,r,05,","","","","","","","8.4",",,,r","","","","","",""
"BOM00033038","1882-02","52.25","29.8331","142.0","VASILEVICI, BO","","","","","12",",r","2",",r","0",",r","","","","","","","","","","","","","","","","","9.0",",,r,21,","","","","","","","23.2",",,,r","","","","","",""
"BOM00033038","1882-03","52.25","29.8331","142.0","VASILEVICI, BO","","","","","13",",r","7",",r","0",",r","","","","","","","","","","","","","","","","","7.5",",,r,10,","","","","","","","37.8",",,,r","","","","","",""
"BOM00033038","1882-04","52.25","29.8331","142.0","VASILEVICI, BO","","","","","10",",r","2",",r","0",",r","","","","","","","","","","","","","","","","","8.9",",,r,20,","","","","","","","21.8",",,,r","","","","","",""
"BOM00033038","1882-05","52.25","29.8331","142.0","VASILEVICI, BO","","","","","7",",r","3",",r","0",",r","","","","","","","","","","","","","","","","","18.4",",,r,20,","","","","","","","33.8",",,,r","","","","","",""
"BOM00033038","1882-06","52.25","29.8331","142.0","VASILEVICI, BO","","","","","11",",r","5",",r","0",",r","","","","","","","","","","","","","","","","","22.1",",,r,22,","","","","","","","66.1",",,,r","","","","","",""
