"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00292940","1941-01","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","4","2,6","3","2,6","0","2,6","","","","","0",",6","23",",6","","","-7.2",",6,04,","","","","","6.9","2,,6,29,","16.8","2,,,6","","","-1.72",",,,6"
"USC00292940","1941-02","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","3",",6","0",",6","0",",6","","","","","0",",","14",",6","","","-3.9",",6,25,","","","","","1.0",",,6,23,","1.8",",,,6","","","0.73",",,,6"
"USC00292940","1941-03","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","6",",6","2",",6","0",",6","","","","","0",",","20",",6","","","-5.6",",6,11,","","","","","20.6",",,6,25,","43.5",",,,6","","","0.07",",,,6"
"USC00292940","1941-04","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","5",",6","3",",6","0",",6","","","0",",6","","","","","","","","","","","0",",,6,30,+","20.6",",,6,27,","42.0",",,,6","0",",,,6","",""
"USC00292940","1941-05","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","13",",6","12",",6","5",",6","","","0",",6","","","","","","","","","","","0",",,6,31,+","71.4",",,6,02,","295.9",",,,6","0",",,,6","",""
"USC00292940","1941-06","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","8",",6","7",",6","0",",6","","","0",",6","","","","","","","","","","","0",",,6,30,+","21.6",",,6,25,","73.9",",,,6","0",",,,6","",""
"USC00292940","1941-07","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","8",",6","7",",6","1",",6","","","0",",6","","","","","","","","","","","0",",,6,31,+","31.2",",,6,13,","83.3",",,,6","0",",,,6","",""
"USC00292940","1941-08","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","7",",6","5",",6","1",",6","","","0",",6","","","","","","","","","","","0",",,6,31,+","31.0",",,6,23,","63.6",",,,6","0",",,,6","",""
"USC00292940","1941-09","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","7",",6","5",",6","2",",6","","","0",",6","","","","","","","","","","","0",",,6,30,+","44.7",",,6,29,","107.8",",,,6","0",",,,6","",""
"USC00292940","1941-10","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","10",",6","10",",6","2",",6","","","0",",6","","","","","","","","","","","0",",,6,31,+","66.3",",,6,23,","173.1",",,,6","0",",,,6","",""
