"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MUM00041270","2009-03","22.3","59.817","43.0","RAS AL HADD, MU","","","180.5","5,S","0","4,S","0","4,S","0","1,S","30","1,S","11","1,S","16.1","4,S,09,","36.4","1,S,19,","0.0","1,S","25.41","5,S","30.55","1,,,S","20.27","4,,,S"
"MUM00041270","2009-04","22.3","59.817","43.0","RAS AL HADD, MU","","","222.5","4,S","0","4,S","0","4,S","0",",S","30",",S","10",",S","18.6","4,S,24,","41.3",",S,30,","0.0",",S","26.83","4,S","31.34",",,,S","22.32","4,,,S"
"MUM00041270","2009-05","22.3","59.817","43.0","RAS AL HADD, MU","","","345.6","5,S","0","4,S","0","4,S","0","1,S","30","1,S","28","1,S","22.7","4,S,07,","44.2","1,S,14,","0.0","1,S","31.77","5,S","37.45","1,,,S","26.08","4,,,S"
"MUM00041270","2009-06","22.3","59.817","43.0","RAS AL HADD, MU","","","315.9","4,S","0","3,S","0","3,S","0","1,S","29","1,S","20","1,S","23.5","3,S,06,","46.1","1,S,15,","0.0","1,S","30.46","4,S","35.36","1,,,S","25.56","3,,,S"
"MUM00041270","2009-07","22.3","59.817","43.0","RAS AL HADD, MU","","","","","","","","","0","1,S","30","1,S","7","1,S","","","39.0","1,S,09,","","","","","30.87","1,,,S","",""
"MUM00041270","2009-08","22.3","59.817","43.0","RAS AL HADD, MU","","","","","0","5,S","0","5,S","0","3,S","28","3,S","7","3,S","22.8","5,S,11,","39.8","3,S,08,","","","27.84","7,S","31.15","3,,,S","24.53","5,,,S"
"MUM00041270","2009-09","22.3","59.817","43.0","RAS AL HADD, MU","","","","","0","5,S","0","5,S","0","1,S","29","1,S","8","1,S","21.8","5,S,19,","39.9","1,S,15,","","","27.62","6,S","31.52","1,,,S","23.72","5,,,S"
"MUM00041270","2009-10","22.3","59.817","43.0","RAS AL HADD, MU","","","262.6","3,S","0",",S","0",",S","0","3,S","28","3,S","14","3,S","20.2",",S,13,","39.7","3,S,10,","0.0","3,S","27.75","3,S","32.85","3,,,S","22.65",",,,S"
"MUM00041270","2009-11","22.3","59.817","43.0","RAS AL HADD, MU","","","","","","","","","0",",S","30",",S","2",",S","","","34.2",",S,07,","","","","","29.32",",,,S","",""
"MUM00041270","2009-12","22.3","59.817","43.0","RAS AL HADD, MU","","","","","","","","","0",",S","31",",S","0",",S","","","31.3",",S,09,","","","","","26.52",",,,S","",""
"MUM00041270","2010-01","22.3","59.817","43.0","RAS AL HADD, MU","","","","","","","","","0",",S","31",",S","0",",S","","","26.7",",S,27,+","","","","","25.25",",,,S","",""
"MUM00041270","2010-02","22.3","59.817","43.0","RAS AL HADD, MU","","","","","","","","","0","2,S","26","2,S","1","2,S","","","32.4","2,S,21,","","","","","26.53","2,,,S","",""
"MUM00041270","2010-03","22.3","59.817","43.0","RAS AL HADD, MU","","","","","","","","","0","1,S","30","1,S","10","1,S","","","37.4","1,S,26,","","","","","30.71","1,,,S","",""
"MUM00041270","2010-04","22.3","59.817","43.0","RAS AL HADD, MU","","","","","","","","","0","1,S","29","1,S","20","1,S","","","40.9","1,S,19,","","","","","33.64","1,,,S","",""
"MUM00041270","2010-05","22.3","59.817","43.0","RAS AL HADD, MU","","","","","","","","","0",",S","31",",S","28",",S","","","45.1",",S,22,","","","","","35.79",",,,S","",""
"MUM00041270","2010-07","22.3","59.817","43.0","RAS AL HADD, MU","","","","","","","","","0",",S","31",",S","10",",S","","","37.3",",S,12,","","","","","30.94",",,,S","",""
"MUM00041270","2010-08","22.3","59.817","43.0","RAS AL HADD, MU","","","","","","","","","0",",S","31",",S","0",",S","","","32.1",",S,02,","","","","","29.20",",,,S","",""
"MUM00041270","2010-09","22.3","59.817","43.0","RAS AL HADD, MU","","","","","","","","","0","2,S","28","2,S","4","2,S","","","34.9","2,S,28,","","","","","29.89","2,,,S","",""
"MUM00041270","2010-10","22.3","59.817","43.0","RAS AL HADD, MU","","","","","","","","","0","2,S","29","2,S","17","2,S","","","39.5","2,S,04,","","","","","33.20","2,,,S","",""
"MUM00041270","2010-11","22.3","59.817","43.0","RAS AL HADD, MU","","","","","","","","","0",",S","30",",S","1",",S","","","33.8",",S,11,","","","","","29.33",",,,S","",""
"MUM00041270","2010-12","22.3","59.817","43.0","RAS AL HADD, MU","","","","","","","","","0",",S","31",",S","0",",S","","","29.8",",S,14,","","","","","26.39",",,,S","",""
"MUM00041270","2011-01","22.3","59.817","43.0","RAS AL HADD, MU","","","","","","","","","0","1,S","30","1,S","0","1,S","","","26.3","1,S,30,","","","","","24.66","1,,,S","",""
"MUM00041270","2011-02","22.3","59.817","43.0","RAS AL HADD, MU","","","","","","","","","0",",S","28",",S","0",",S","","","31.2",",S,18,","","","","","26.39",",,,S","",""
"MUM00041270","2011-03","22.3","59.817","43.0","RAS AL HADD, MU","","","","","","","","","0","4,S","27","4,S","3","4,S","","","34.5","4,S,27,","","","","","28.70","4,,,S","",""
"MUM00041270","2011-04","22.3","59.817","43.0","RAS AL HADD, MU","","","","","","","","","0","1,S","29","1,S","15","1,S","","","41.2","1,S,12,","","","","","32.79","1,,,S","",""
"MUM00041270","2011-07","22.3","59.817","43.0","RAS AL HADD, MU","","","","","","","","","0","1,S","30","1,S","5","1,S","","","43.0","1,S,15,","","","","","30.11","1,,,S","",""
"MUM00041270","2011-08","22.3","59.817","43.0","RAS AL HADD, MU","","","","","","","","","0",",S","31",",S","3",",S","","","33.8",",S,16,","","","","","29.54",",,,S","",""
"MUM00041270","2011-12","22.3","59.817","43.0","RAS AL HADD, MU","","","","","","","","","0","3,S","28","3,S","0","3,S","","","29.2","3,S,05,","","","","","26.07","3,,,S","",""
"MUM00041270","2012-01","22.3","59.817","43.0","RAS AL HADD, MU","","","","","","","","","0",",S","31",",S","0",",S","","","29.9",",S,14,","","","","","25.63",",,,S","",""
"MUM00041270","2012-02","22.3","59.817","43.0","RAS AL HADD, MU","","","","","","","","","0","1,S","28","1,S","0","1,S","","","29.7","1,S,03,","","","","","25.36","1,,,S","",""
