"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00024233","1948-01","47.4444","-122.3138","112.8","SEATTLE TACOMA AIRPORT, WA US","","","0.0","0","0.0",",X","16",",X","13",",X","0",",X","0","3,X","0","2,X","0",",X","18",",X","0",",X","0",",X","0",",X","16","","","","","","-3.9",",X,28,","0","3,,X,31,+","0","2,,X,31,+","18.8",",,X,10,","11.7",",X,28,+","","","464.7",",X","114.0",",,,X","","","0","2,,,X","3.34",",X","6.42",",,,X","0.27",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00024233","1948-02","47.4444","-122.3138","112.8","SEATTLE TACOMA AIRPORT, WA US","","","0.0","0","0.0",",X","16",",X","11",",X","0",",X","0",",X","1",",X","0",",X","14",",X","0",",X","0",",X","0",",X","11","","","","1","","-6.7",",X,06,","0",",T,X,08,+","41",",,X,04,","24.9",",,X,25,","13.9",",X,17,","","","420.6",",X","133.5",",,,X","","","56",",,,X","3.83",",X","7.31",",,,X","0.35",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00024233","1948-03","47.4444","-122.3138","112.8","SEATTLE TACOMA AIRPORT, WA US","","","0.0","0","0.0",",X","14",",X","7",",X","1",",X","0",",X","0",",X","0",",X","8",",X","0",",X","1",",X","0",",X","9","","","","","","-2.2",",X,03,","0",",,X,31,+","0",",T,X,22,+","51.8",",,X,21,","21.1",",X,27,","","","380.6",",X","93.5",",,,X","","","0",",T,,X","6.06",",X","10.61",",,,X","1.50",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00024233","1948-04","47.4444","-122.3138","112.8","SEATTLE TACOMA AIRPORT, WA US","","","0.0","0","0.0",",X","20",",X","11",",X","0",",X","0",",X","0",",X","0",",X","7",",X","0",",X","0",",X","0",",X","9","","","","3","","-1.1",",X,07,","0",",T,X,04,","0",",T,X,05,+","17.8",",,X,24,","18.9",",X,20,","","","325.8",",X","95.4",",,,X","","","0",",T,,X","7.47",",X","12.00",",,,X","2.95",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00024233","1948-05","47.4444","-122.3138","112.8","SEATTLE TACOMA AIRPORT, WA US","","","0.3","0","0.3",",X","16",",X","11",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","4",",X","0",",X","16","","","","1","","1.7",",X,02,","0",",,X,31,+","0",",,X,31,+","22.4",",,X,28,","26.7",",X,24,","","","208.9",",X","121.1",",,,X","","","0",",,,X","11.60",",X","16.34",",,,X","6.87",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00024233","1948-06","47.4444","-122.3138","112.8","SEATTLE TACOMA AIRPORT, WA US","","","18.7","0","18.4",",0","8",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","18",",0","0",",0","11","","","","","","7.8",",0,01,","0",",,0,30,+","0",",,0,30,+","23.4",",,0,11,","30.6",",0,08,+","","","73.3",",0","53.3",",,,0","","","0",",,,0","16.50",",0","22.06",",,,0","10.95",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00024233","1948-07","47.4444","-122.3138","112.8","SEATTLE TACOMA AIRPORT, WA US","","","29.7","0","11.0",",0","8",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","23",",0","0",",0","10","","","","1","","6.7",",0,02,","0",",,0,31,+","0",",,0,31,+","11.2",",,0,06,","31.1",",0,31,","56.2","0","56.2",",0","39.0",",,,0","","","0",",,,0","16.87",",0","22.85",",,,0","10.89",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00024233","1948-08","47.4444","-122.3138","112.8","SEATTLE TACOMA AIRPORT, WA US","","","31.7","0","2.0",",0","15",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","16",",0","0",",0","18","","","","1","","8.9",",0,07,","0",",,0,31,+","0",",,0,31,+","10.4",",,0,15,","26.7",",0,28,","123.9","0","67.7",",0","47.7",",,,0","","","0",",,,0","16.21",",0","20.75",",,,0","11.67",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00024233","1948-09","47.4444","-122.3138","112.8","SEATTLE TACOMA AIRPORT, WA US","","","36.7","0","5.0",",0","10",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","13",",0","0",",0","16","","","","1","","2.8",",0,25,","0",",,0,30,+","0",",,0,30,+","38.4",",,0,26,","27.2",",0,10,+","260.4","0","136.5",",0","97.7",",,,0","","","0",",,,0","13.95",",0","19.48",",,,0","8.42",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00024233","1948-10","47.4444","-122.3138","112.8","SEATTLE TACOMA AIRPORT, WA US","","","36.7","0","0.0",",0","13",",0","8",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","1",",0","0",",0","22","","","","1","","0.0",",0,27,","0",",,0,31,+","0",",,0,31,+","16.8",",,0,10,","24.4",",0,01,","511.7","0","251.3",",0","59.3",",,,0","","","0",",,,0","10.23",",0","14.91",",,,0","5.54",",,,0","","","","","","","","","","","","","","","","","","","","","",""
