"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00014755","1948-02","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","","","0.0",",X","16",",X","7",",X","1",",X","29",",X","6",",X","24",",X","29",",X","27",",X","0",",X","0",",X","24","","","","","","-33.9",",X,09,","864",",,X,13,+","64",",,X,25,","65.5",",,X,14,","2.8",",X,14,","","","1027.5",",X","109.7",",,,X","","","381",",,,X","-17.10",",X","-11.74",",,,X","-22.45",",,,X","","","","","","","","","","","","","",""
"USW00014755","1948-03","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","","","0.0",",X","15",",X","9",",X","0",",X","29",",X","6",",X","12",",X","31",",X","24",",X","0",",X","0",",X","26","","","","1","","-30.6",",X,05,+","762",",,X,04,+","81",",,X,08,","14.7",",,X,21,+","5.0",",X,27,","","","894.1",",X","82.1",",,,X","","","361",",,,X","-10.51",",X","-6.02",",,,X","-15.00",",,,X","","","","","","","","","","","","","",""
"USW00014755","1948-04","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","","","0.0",",X","18",",X","12",",X","1",",X","8",",X","6",",X","5",",X","30",",X","15",",X","0",",X","0",",X","23","","","","1","","-21.1",",X,10,+","152",",,X,30,","117",",,X,30,","39.6",",,X,20,","5.6",",X,24,+","","","692.7",",X","151.1",",,,X","","","524",",,,X","-4.76",",X","-0.42",",,,X","-9.09",",,,X","","","","","","","","","","","","","",""
"USW00014755","1948-05","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","","","0.0",",X","19",",X","13",",X","0",",X","11","1,X","6",",X","0",",X","24",",X","9",",X","0",",X","0",",X","26","","","","","","-10.0",",X,19,","102","1,,X,16,+","102",",,X,15,","24.6",",,X,07,","12.2",",X,27,","","","556.7",",X","149.8",",,,X","","","374",",,,X","0.37",",X","3.24",",,,X","-2.49",",,,X","","","","","","","","","","","","","",""
"USW00014755","1948-06","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","","","0.0",",0","19",",0","12",",0","1",",0","0",",0","0",",0","0",",0","8",",0","0",",0","0",",0","0",",0","27","","","","2","","-7.2",",0,06,","0",",,0,30,+","0",",,0,30,+","41.1",",,0,24,","17.8",",0,30,+","","","362.9",",0","136.9",",,,0","","","0",",,,0","6.24",",0","9.56",",,,0","2.92",",,,0","","","","","","","","","","","","","",""
"USW00014755","1948-07","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","","","0.0",",0","12",",0","7",",0","1",",0","0",",0","0",",0","0",",0","1",",0","0",",0","0",",0","0",",0","27","","","","3","","-1.1",",0,07,","0",",,0,31,+","0",",,0,31,+","34.8",",,0,06,","18.9",",0,12,","286.0","0","286.0",",0","83.4",",,,0","","","0",",,,0","9.11",",0","12.37",",,,0","5.84",",,,0","","","","","","","","","","","","","",""
"USW00014755","1948-08","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","","","0.0",",0","17",",0","11",",0","2",",0","0",",0","0",",0","0",",0","2",",0","0",",0","0",",0","0",",0","29","","","","2","","-0.6",",0,31,","0",",,0,31,+","0",",,0,31,+","44.5",",,0,12,","18.9",",0,26,","566.3","0","280.3",",0","143.6",",,,0","","","0",",,,0","9.29",",0","12.08",",,,0","6.50",",,,0","","","","","270",",X","","","","","38.4",",X","",""
"USW00014755","1948-09","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","","","0.0",",0","7",",0","5",",0","1",",0","0",",0","0",",0","0",",0","11",",0","5",",0","0",",0","0",",0","22","","","","2","","-5.6",",0,22,+","0",",T,0,24,+","8",",,0,22,","29.2",",,0,18,","16.7",",0,13,","961.2","0","394.9",",0","79.0",",,,0","","","11",",,,0","5.17",",0","8.26",",,,0","2.08",",,,0","","","","","270",",X","","","","","35.3",",X","",""
"USW00014755","1948-10","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","","","0.0",",0","12",",0","9",",0","1",",0","5",",0","2",",0","0",",0","22",",0","7",",0","0",",0","0",",0","23","","","","1","","-14.4",",0,19,","76",",,0,21,+","51",",,0,20,","44.2",",,0,08,","9.4",",0,01,","1543.3","0","582.1",",0","116.8",",,,0","","","99",",,,0","-0.44",",0","2.31",",,,0","-3.20",",,,0","","","","","225",",X","","","","","35.3",",X","",""
"USW00014755","1948-11","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","","","0.0",",0","22",",0","15",",0","3",",0","14","2,0","6","1,0","0",",0","27",",0","19",",0","0",",0","0",",0","28","","","","","","-12.8",",0,14,","152","2,,0,27,+","107","1,,0,27,","65.0",",,0,10,","10.0",",0,10,","2187.1","0","643.8",",0","250.4",",,,0","","","435","1,,,0","-3.13",",0","-0.36",",,,0","-5.89",",,,0","","","","","315",",X","","","","","43.8",",X","",""
"USW00014755","1948-12","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","","","0.0",",0","17",",0","14",",0","2",",0","31",",0","12",",0","9",",0","31",",0","27",",0","0",",0","0",",0","25","","","","","","-28.3",",0,26,","279",",,0,28,+","81",",,0,01,","31.0",",,0,30,","5.0",",0,05,","3102.7","0","915.6",",0","140.3",",,,0","","","587",",,,0","-11.20",",0","-7.74",",,,0","-14.66",",,,0","","","","","135",",X","","","","","42.9",",X","",""
"USW00014755","1949-01","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","0.0","0","0.0",",0","16",",0","13",",0","0",",0","31",",0","9",",0","11",",0","31",",0","27",",0","0",",0","0",",0","27","","","","","","-31.7",",0,30,","279",",,0,15,+","76",",,0,31,","21.1",",,0,05,","2.8",",0,16,","4016.0","0","913.3",",0","122.5",",,,0","","","510",",,,0","-11.13",",0","-6.63",",,,0","-15.63",",,,0","","","","","270",",X","","","","","57.2",",X","",""
"USW00014755","1949-02","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","0.0","0","0.0",",0","14",",0","10",",0","0",",0","28",",0","10",",0","10",",0","28",",0","27",",0","0",",0","0",",0","24","","","","","","-27.8",",0,11,","356",",,0,28,+","89",",,0,13,","11.4",",,0,22,","1.7",",0,15,","4866.9","0","850.9",",0","71.6",",,,0","","","585",",,,0","-12.06",",0","-7.71",",,,0","-16.40",",,,0","","","","","315",",X","","","","","48.3",",X","",""
"USW00014755","1949-03","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","0.0","0","0.0",",0","17",",0","13",",0","0",",0","31",",0","8",",0","14",",0","30",",0","22",",0","0",",0","0",",0","28","","","","1","","-27.8",",0,19,","406",",,0,21,+","76",",,0,12,","17.5",",,0,23,","6.7",",0,27,","5759.8","0","892.9",",0","96.3",",,,0","","","424",",,,0","-10.47",",0","-6.57",",,,0","-14.37",",,,0","","","","","315",",X","","","","","48.3",",X","",""
"USW00014755","1949-04","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","0.0","0","0.0","1,0","21",",0","14",",0","1",",0","30",",0","8",",0","0","1,0","28","1,0","20",",0","0",",0","0",",0","25","","","","2","","-16.1","1,0,25,+","330",",,0,12,+","323",",,0,06,","67.3",",,0,06,","7.2",",0,13,","6426.4","0","666.6",",0","165.9",",,,0","","","873",",,,0","-4.78","1,0","-1.51",",,,0","-8.04","1,,,0","","","","","293",",X","","","","","51.9",",X","",""
"USW00014755","1949-05","44.27018","-71.30336","1911.7","MOUNT WASHINGTON, NH US","","","0.0","0","0.0",",0","18",",0","12",",0","2",",0","6",",0","4",",0","0",",0","19",",0","5",",0","0",",0","0",",0","25","","","","1","","-7.8",",0,11,","152",",,0,31,+","74",",,0,26,","30.7",",,0,23,","13.9",",0,05,","6922.7","0","496.3",",0","143.9",",,,0","","","239",",,,0","2.32",",0","6.01",",,,0","-1.36",",,,0","","","","","293",",X","","","","","34.0",",X","",""
